"Annual_measure","SD_of_measure","Use1_0","Name","Units","Description","Region","Time_period","Source"
10,5,1,"Obs_benclar_pb","/y","Annual_gross_PB_ratio_larvae_of_carn/scav_benthos","General_value",NA,"Mackinson_and_Daskalov_2007"
5.8,6.09,1,"Obs_bens_pb","/y","Annual_gross_PB_ratio_susp/dep_feeding_benthos","SBS",NA,"Compilation of a range of sources"
4.11,2.18,1,"Obs_benc_pb","/y","Annual_gross_PB_ratio_carn/scav_feeding_benthos","SBS",NA,"Compilation of a range of sources"
90,9.9,1,"Obs_omni_pb","/y","Annual_gross_PB_ratio_omniv_zooplankton","SBS",NA,"Gasalla_and_Rossi-Wongtschowski_2004"
5.15,4.27,1,"Obs_carn_pb","/y","Annual_gross_PB_ratio_carniv_zooplankton","SBS",NA,"Compilation of a range of sources"
4,2,1,"Obs_fishplar_pb","/y","Annual_gross_PB_ratio_larvae_of_planktivorous_fish","General_value",NA,"Mackinson_and_Daskalov_2007"
4,2,1,"Obs_fishdlar_pb","/y","Annual_gross_PB_ratio_larvae_of_demersal_fish","General_value",NA,"Mackinson_and_Daskalov_2007"
1.36,0.28,1,"Obs_fishp_pb","/y","Annual_gross_PB_ratio_planktivorous_fish","SBS",NA,"Gasalla_et_al_2007_Bornatowski_et_al_2017"
0.76,0.47,1,"Obs_fishd_pb","/y","Annual_gross_PB_ratio_demersal_fish","SBS",NA,"Compilation of a range of sources"
1.01,0.92,1,"Obs_fishm_pb","/y","Annual_gross_PB_ratio_migratory_fish","SBS",NA,"Compilation of a range of sources"
0.14,0.035,1,"Obs_bird_pb","/y","Annual_net_PB_ratio_birds","SBS",NA,"Compilation of a range of sources"
1.04,0.26,1,"Obs_seal_pb","/y","Annual_net_PB_ratio_pinnipeds","SBS",NA,"Compilation of a range of sources"
0.05,0.0125,1,"Obs_ceta_pb","/y","Annual_net_PB_ratio_cetaceans","SBS",NA,"Compilation of a range of sources"
0.3,0.1,0,"Obs_exud_C_kelp","dimensionless","Annual_average_proportion_of_macrophyte_C_uptake_which_is_exuded","General_value",NA,"Abdullah_and_Fredriksen_2004"
0.12,0.2,0,"Obs_kelp_NC","dimensionless","Annual_average_molar_NC_ratio_of_macrophytes","General_value",NA,"Sjotun_et_al_1996/Broch_and_Slagstad_2012"
NA,NA,0,"Obs_Denitrif","mMN/m2/y","Annual_denitrification","SBS","2010-2019","Insufficient_data"
0.1555439,0.038885975,1,"Obs_Dfdiscardp","dimensionless","Proportion_of_demersal_fish_catch_discarded","SBS","2010-2019","Estimated using landings and discards rate"
NA,NA,0,"Obs_s_x_ammonia","mMN/m3","Annual_average_ammonia_conc_in_porewater_of_sand_gs_0.25mm","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_d_x_ammonia","mMN/m3","Annual_average_ammonia_conc_in_porewater_of_mud_gs_0.12mm","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_s_x_nitrate","mMN/m3","Annual_average_nitrate_conc_in_porewater_of_sand_gs_0.25mm","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_d_x_nitrate","mMN/m3","Annual_average_nitrate_conc_in_porewater_of_mud_gs_0.12mm","SBS","2010-2019","Insufficient_data"
0.00036608,9.152e-05,1,"Obs_s_x_TON","%N(gN/g_dry_sed)","Annual_average_organic_N_content_of_sand_gs_0.25mm_(0.19-0.43mm)","SBS",NA,"Mahiques (1998)"
0.01978447,0.0049461175,1,"Obs_d_x_TON","%N(gN/g_dry_sed)","Annual_average_organic_N_content_of_mud_gs_0.12mm_(0.03-0.07mm)","SBS",NA,"Mahiques (1998)"
NA,NA,0,"Obs_NDJF_s_nitrate","mMN/m3","Average_winter_(Nov-Feb)_nitrate_conc_shallow_layer","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_MJJA_s_nitrate","mMN/m3","Average_summer_(May-Aug)_nitrate_conc_shallow_layer","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_NDJF_d_nitrate","mMN/m3","Average_winter_(Nov-Feb)_nitrate_conc_deep_layer","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_MJJA_d_nitrate","mMN/m3","Average_summer_(May-Aug)_nitrate_conc_deep_layer","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_NDJF_s_ammonia","mMN/m3","Average_winter_(Nov-Feb)_ammonia_conc_shallow_layer","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_MJJA_s_ammonia","mMN/m3","Average_summer_(May-Aug)_ammonia_conc_shallow_layer","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_NDJF_d_ammonia","mMN/m3","Average_winter_(Nov-Feb)_ammonia_conc_deep_layer","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_MJJA_d_ammonia","mMN/m3","Average_summer_(May-Aug)_ammonia_conc_deep_layer","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_carn_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_carnzoo_depth_av_conc","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_omni_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_omnivzoo_depth_av_conc","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_phyt_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_phyt_surface_layer_conc","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_nit_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_nitrate_surface_layer_conc","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_amm_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_ammonia_surface_layer_conc","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_pfish_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_planktivorous_fish_density_per_m2","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_dfish_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_demersal_fish_density_per_m2","SBS","2010-2019","Insufficient_data"
4.47132806e-05,1.117832015e-05,1,"Obs_birddisc","mMN/m2/y","Annual_bycatch_of_birds","SBS","2010-2019","Estimated using a range of sources"
1.2415847e-05,3.10396175e-06,1,"Obs_sealdisc","mMN/m2/y","Annual_bycatch_of_pinnipeds","SBS","2010-2019","Estimated using a range of sources"
0.00020441516,5.110379e-05,1,"Obs_cetadisc","mMN/m2/y","Annual_bycatch_of_cetaceans","SBS","2010-2019","Estimated using a range of sources"
0.15,0.05,0,"Obs_kelp_beachcast","dimensionless","Proportion_of_macrophyte_annual_nitrogen_uptake_exported_as_beachcast","General_value",NA,"Zemke_White_et_al_2005"
0,0,0,"Obs_Ctland_livewt","mMN/m2/y","Obs_cetacean_landings_by_whale_hunters","SBS","2010-2019","No_whaling_allowed"
