"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,2.16194319096365,0.272758051998924,0.393639704585081,0.586067571264212,9.04446702587767,0.146058015326452,0.0225922230811338,0.152736919079723,6.43595016413001,0.389917802382378,0.687500510164011,0.677670750896648,174.265481673411,19.3628312970457,0,0.0193343081507265,0.0335669569877161,0.0243868075809034,0.0507121377791952,0,0,0,0,20.6923637722736,0.0811249611029033,0.027930026879689
2,1.88928625170811,0.267031416791859,0.37619534046268,0.569849511634679,8.99986205801715,0.14691273815604,0.0205847718788111,0.161273595188124,8.04059730314002,0.4583803226596,0.718708020439889,0.781347441592599,167.306769633543,18.5896410703937,0,0.0167606858307867,0.0311163890966588,0.0213985497090654,0.04749747319573,0,0,0,0,20.5458977524342,0.0816989832487159,0.0379865326166346
3,1.54841921955876,0.264300343927168,0.383343460593812,0.518838299104354,8.87590767296991,0.147778961574159,0.0168090858168391,0.162110942834953,9.84087630834868,0.422975054439164,0.604730615266299,0.644885930670778,164.320859296593,18.2578732551769,0,0.0123344061355437,0.0224397428685688,0.0172195773709068,0.0382701447877329,0,0,0,0,20.2827816244746,0.0832617421616092,0.0476452696954812
4,1.41508894862412,0.262356062218028,0.375395057037377,0.463294761598926,8.68112099751852,0.146415438969082,0.0131382120255364,0.149486712262069,10.2381400263948,0.403174284990306,0.53992124723036,0.548373156191765,160.302698255808,17.811410917312,0,0.0118883262898418,0.0272658663535757,0.0149932624550448,0.0424636162019202,0,0,0,0,20.4688668281812,0.0853133213088816,0.0461986207144725
5,2.01924716066285,0.277211503232276,0.408445493458478,0.405946737116188,8.68018316184442,0.1430056904705,0.0145936960986879,0.126701169771115,13.1896544292418,0.393601374144037,0.432713484123782,0.46845204148539,146.445025455399,16.2716694950444,0,0.0132533972696637,0.0387414643961576,0.0143209285604926,0.0506583710677475,0,0,0,0,20.6362332071192,0.0852165503675257,0.0357665535837635
6,3.71736097138085,0.305029759489957,0.396597379089331,0.32585078585597,8.73811292446674,0.144876440293368,0.0243816658091175,0.109981456182296,19.7498544196326,0.390253740348946,0.315259435215108,0.337772767553352,136.42313161047,15.1581257344967,0,0.014661993121817,0.044263412377664,0.0139921045463,0.0532152534772952,0,0,0,0,20.4560476590844,0.0851449788523474,0.0269476932852624
7,4.73491581575836,0.316765697454634,0.379898428441404,0.264191355960166,8.89195858874806,0.153283978585979,0.0326597463000387,0.0994167279954724,18.0672342823401,0.396269189496219,0.343478806175679,0.337275655160359,128.356218538156,14.2618020597951,0,0.013731721110539,0.0387054219979295,0.0143944596966153,0.0519961560754457,0,0,0,0,20.5130293791523,0.0860929015000408,0.0222393346673404
8,4.86444007249861,0.326086804196905,0.478602416668608,0.273533468532078,8.99780492686184,0.158728589973677,0.0390235968745073,0.0970543337940574,15.3346948343527,0.422657912921687,0.512525457204974,0.341133337224894,120.171406383243,13.352378487027,0,0.0205722790906712,0.0402430347102578,0.0227264606089155,0.0556033508088182,0,0,0,0,20.3490054931042,0.0851417532907006,0.0185355113773071
9,3.97991117131187,0.344578149432616,0.58781240619235,0.369696885178336,8.964144256474,0.162158853449361,0.0427301103348093,0.118359489961472,12.209251498004,0.430370649114254,0.640896422921747,0.38898850829586,121.368463866136,13.4853848740151,0,0.0194826165568971,0.0410640020189541,0.0231881778953331,0.0587011851547729,0,0,0,0,20.8543104228685,0.0841565711416912,0.0187030435327336
10,2.94824324890035,0.332869278152481,0.647711883301883,0.463415611062503,9.10523144163782,0.160098419292912,0.0434128517692974,0.131971714197454,8.6797177472211,0.444990992583145,0.867855047517923,0.485603790450121,124.703594740991,13.8559549712213,0,0.0170626771992527,0.0389685573202262,0.0216939540210819,0.0562795450747837,0,0,0,0,21.1268076843082,0.0821668144648822,0.0180562306267209
11,2.29031217621535,0.299910983248177,0.563117791718952,0.556842543775894,9.14715616807098,0.156714832499452,0.0339831001567392,0.151233365706534,7.0336484830171,0.411403374754521,0.78080869507478,0.598596178587087,135.866146577721,15.0962385086357,0,0.0127438647628185,0.0276642048820144,0.0178284019542237,0.0458551517554692,0,0,0,0,20.836547507591,0.0807618073349383,0.0177920722440657
12,1.76134124500653,0.271032601117879,0.460511707274328,0.601986216448671,8.98284645648953,0.149919768819696,0.0241567085837344,0.16056086361482,6.06433952178761,0.379384653698613,0.701014088322327,0.649321188125202,158.714797312693,17.6349774791881,0,0.0151413174191584,0.0283268842554312,0.0201541422930662,0.0454752240329981,0,0,0,0,20.8884617886839,0.0805529087396692,0.0218141174130928
